Start of Trip,End of Trip,Vehicle Id,Trip Started in Park House,Trip Ended in Park House
19/02/2021 10:59,19/02/2021 11:23,132823555,0,1
19/02/2021 11:09,19/02/2021 11:24,132709156,0,1
19/02/2021 11:37,19/02/2021 11:52,132536419,0,1
19/02/2021 11:41,19/02/2021 11:53,132986806,0,1
19/02/2021 18:44,19/02/2021 18:51,132689968,0,1
19/02/2021 20:07,19/02/2021 20:43,132986806,1,1
19/02/2021 21:26,19/02/2021 21:32,132986806,1,1
20/02/2021 11:04,20/02/2021 14:32,132986806,1,1
20/02/2021 13:13,21/02/2021 10:43,132691453,0,1
20/02/2021 13:46,20/02/2021 14:27,132689950,0,1
20/02/2021 13:51,21/02/2021 10:44,132708922,0,1
20/02/2021 16:49,20/02/2021 17:14,132769168,0,1
20/02/2021 21:00,20/02/2021 21:22,132685783,0,1
21/02/2021 09:52,21/02/2021 10:34,132456490,0,1
21/02/2021 10:57,21/02/2021 11:23,128583448,0,1
21/02/2021 17:36,21/02/2021 18:29,132962749,0,1
22/02/2021 09:55,22/02/2021 15:37,132962749,1,1
22/02/2021 12:36,22/02/2021 13:07,132629209,0,1
22/02/2021 12:46,22/02/2021 13:14,132827659,0,1
22/02/2021 15:22,22/02/2021 15:45,132837829,0,1
22/02/2021 16:56,22/02/2021 16:58,132827659,1,1
22/02/2021 19:31,22/02/2021 19:52,132582400,0,1
23/02/2021 09:49,23/02/2021 10:14,132693073,0,1
23/02/2021 12:13,23/02/2021 12:16,132689950,1,1
23/02/2021 13:45,23/02/2021 13:57,132508240,0,1
23/02/2021 18:09,23/02/2021 18:24,128500963,0,1
23/02/2021 19:35,23/02/2021 20:01,132786142,0,1
24/02/2021 11:40,24/02/2021 11:44,132708922,1,1
24/02/2021 16:56,24/02/2021 17:10,132829504,0,1
24/02/2021 17:05,24/02/2021 17:33,132582400,1,1
24/02/2021 17:28,24/02/2021 18:23,132814564,0,1
24/02/2021 19:42,24/02/2021 20:25,132536419,1,1
25/02/2021 06:53,25/02/2021 07:22,132538030,0,1
25/02/2021 07:15,25/02/2021 07:37,132962146,0,1
25/02/2021 11:29,25/02/2021 11:51,132769168,1,1
25/02/2021 11:31,25/02/2021 14:45,132829504,1,1
25/02/2021 16:31,25/02/2021 18:36,132828505,0,1
25/02/2021 17:32,25/02/2021 17:51,132548758,0,1
25/02/2021 18:48,25/02/2021 18:57,128398102,0,1
25/02/2021 18:49,25/02/2021 19:27,132786412,0,1
26/02/2021 06:54,26/02/2021 07:16,132691543,0,1
26/02/2021 10:02,26/02/2021 10:11,132582400,1,1
26/02/2021 10:57,26/02/2021 11:19,132536527,0,1
26/02/2021 11:07,26/02/2021 12:51,132832582,0,1
26/02/2021 11:37,26/02/2021 12:18,132294310,0,1
26/02/2021 14:14,26/02/2021 15:30,132536527,1,1
26/02/2021 15:14,26/02/2021 15:52,132826399,0,1
26/02/2021 17:43,26/02/2021 18:13,132708931,0,1
26/02/2021 18:12,26/02/2021 18:47,132785917,0,1
26/02/2021 22:00,26/02/2021 22:44,132590383,0,1
27/02/2021 05:43,27/02/2021 06:08,132709039,0,1
27/02/2021 08:35,27/02/2021 08:48,132481933,0,1
27/02/2021 09:45,27/02/2021 10:53,132590383,1,1
27/02/2021 10:04,27/02/2021 10:17,132827668,0,1
27/02/2021 10:09,27/02/2021 10:20,132769240,0,1
27/02/2021 12:03,27/02/2021 12:10,132769240,1,1
27/02/2021 13:30,27/02/2021 14:25,132708931,1,1
27/02/2021 14:16,27/02/2021 14:45,132666046,0,1
27/02/2021 14:45,27/02/2021 15:15,132814555,0,1
27/02/2021 15:19,27/02/2021 17:36,132666046,1,1
27/02/2021 16:04,27/02/2021 16:26,132829504,1,1
27/02/2021 18:10,27/02/2021 18:38,132786007,0,1
27/02/2021 18:50,27/02/2021 19:21,131172145,0,1
27/02/2021 18:59,27/02/2021 20:58,132642925,0,1
28/02/2021 08:40,28/02/2021 09:05,132558271,0,1
28/02/2021 09:12,28/02/2021 09:40,132665974,0,1
28/02/2021 09:40,28/02/2021 09:50,132665974,1,1
28/02/2021 12:41,28/02/2021 13:26,128734774,0,1
28/02/2021 15:30,28/02/2021 16:07,132828892,0,1
28/02/2021 17:42,28/02/2021 22:05,132665974,1,1
28/02/2021 20:43,28/02/2021 20:46,132666046,1,1
28/02/2021 20:59,28/02/2021 21:42,128388067,0,1
02/03/2021 19:55,02/03/2021 20:48,132590383,1,1
04/03/2021 13:07,04/03/2021 13:34,132508240,1,1